"prf_ph_autologin_security_create_new","Von Zeit zu Zeit sollten Sie aus Sicherheitsgründen einen neuen Autologin-Link erstellen - klicken Sie dazu bitte hier:","From time to time you should create  a new Autologin link for security reasons-please click here to do so:","Čas od času byste měli z bezpečnostních důvodů vytvořit nový link - automatické přihlášení - pro toto klikněte prosím zde:",,"Co pewien czas należy ze względów bezpieczeństwa utworzyć nowy link autologowania – kliknij w tym celu tutaj:","Din când în când ar trebui să creaţi un nou Autologin-Link din cauza singuranţei -clic pentru acesta aici:",
"prf_ph_autologin_set_as_homepage","Jetzt als Homepage setzen","Set as homepage now","Nyní uložit jako domovskou stránku",,"Ustaw jako stronę główną","Pune ca pagină principală",
"prf_ph_autologin_your_link","Ihr Autologin-Link","Your Autologin link","Váš link - automatické přihlášení",,"Twój link autologowania","Autologin-Link",
"prf_ph_cal_day_duration","Normale Tagesdauer von","Usual daily duration of",,,"Długość zwykłego dnia","Durată de zi normală de la",
"prf_ph_cal_include_due_tasks","Fällige Aufgaben einblenden","Display due tasks",,,"Wyświetl zadania do wykonania","Arată sarcina(ile) scadentă(e)",
"prf_ph_cal_include_due_tasks_in_day_view","in der Tagesübersicht","In day view",,,"w widoku dziennym","Zi",
"prf_ph_change_password","Passwort ändern","Change password","změna hesla","zmena hesla","Zmień kod zabezpieczenia","Schimbare parolă",
"prf_ph_charset_mails","Zeichensatz für abgehende E-Mails","Character set for sending messages",,,"Kodowanie znaków w wiadomościach wychodzących","Caractere adjuste pentru E-Mail-uri trimise",
"prf_ph_confirmation_needed_to_send","Bestätigung beim Versand einer E-Mail","Confirmation if message sent",,,"Potwierdzenie przy wysyłce wiadomości e-mail","Confirmare la trimitere E-Mail",
"prf_ph_create_new_sig","Neue Signatur erstellen ...",,,,,"Creerea unei noi semnături ...",
"prf_ph_create_new_sig_html","Neue HTMLSignatur erstellen ...",,,,,"Creerea unei noi semnături HTML ...",
"prf_ph_create_new_sig_text","Neue Text-Signatur erstellen ...",,,,,"Creerea unei noi semnături TEXT ...",
"prf_ph_daylightsaving","Sommerzeit","Summer Time","Letní čas",,"Czas letni","Timp de vară",
"prf_ph_description_html_editor_linkbreak","Enter = Neuer Absatz; Strg+Enter = Zeilenumbruch",,,,,"Enter = nou alineat; Ctrl+Enter = rând separat",
"prf_ph_display_and_security","Einstellungen für Anzeige/Sicherheit","Settings for display/security","nastavení pro zprávu/zabezpečení","nastavení pro zprávu/zabezpecení","Ustawienie wskaźnika","Opţiuni pentru Vizualizare/Siguranţă",
"prf_ph_display_description","Verschiedene Optionen bzgl. Darstellung (z.B. E-Mails pro Seite).","Different options regarding display(e.g. Emails per page)","různá nastavení resp. zobrazení (nap. počet e-mailů na stránku)","ruzná nastavení resp. zobrazení (napr. pocet e-mailu na stránku)","Różne opcje odnośnie reprezentacji (np. e-mail na stronę)","Opţiuni diferite precum prezentare (ex. E-Mail-uri per pagină).",
"prf_ph_display_left_nav_full","Vollansicht","Full yview",,,"Widok pełny","Vedere totală",
"prf_ph_display_left_nav_small","Verkleinerte Darstellung","Zoom out",,,"Widok zmniejszony","Prezentare minimală",
"prf_ph_display_settings","Darstellung","Display","zobrazení","zobrazení","Ustawienie","Prezentare",
"prf_ph_display_view","Darstellung & Ansicht","Display &view","Zobrazení a náhled",,"Wyświetlanie i widok","Prezentare & Vizualizare",
"prf_ph_display_view_calendar_start_end","Kalender Tagesbeginn/Ende","Calendar start/end of day","Kalendář - začátek/konec dne",,"Kalendarz – początek dnia/koniec","Calendar început de zi/Sfârşit",
"prf_ph_display_view_contacts_per_page","Kontakte pro Seite","Contacts per page","Počet kontaktů na stránce",,"kontakty(ów) na stronie","Contacte per pagină",
"prf_ph_display_view_emails_per_page","E-Mails pro Seite","Emails per page","Počet zpráv na stránce",,"wiadomości e-mail na stronie","E-Mail-uri per pagină",
"prf_ph_display_view_forward_format","Weiterleitungsformat","Forwarding format","Formát předávání",,"Format przekazywania","Format pentru redirecţionare",
"prf_ph_display_view_timezone","Zeitzone/Zeichensatz","Time zone/font","Časová pásma/abeceda",,"Strefa czasowa/czcionka","Fus orar/caractere adjuste",
"prf_ph_emails_per_page","E-Mails pro Seite","Emails per page",,,"Liczba wiadomości e-mail na stronie","E-Mail-uri per pagină",
"prf_ph_email_access_recommendations","Unsere Empfehlung: IMAP (SSL verschlüsselt).","Our recommendation: IMAP (SSL encrypting)",,,"Zalecamy: IMAP (szyfrowanie SSL).","Recomandarea noastră: IMAP (SSL codat).",
"prf_ph_email_addresses","E-Mail Adressen","Email addresses","e-mailové adresy","e-mailové adresy","Adresy e-mail","Adrese E-Mail",
"prf_ph_email_addresses_description1","Externe Adressen einbinden (POP3 Checker)","Integrate external addresses (POP3 checker)","propojit externí adresy (POP3 Checker)","propojit externí adresy (POP3 Checker)","Włącz adresy zewnętrzne  (POP3 kontroler)","Include adrese externe (POP3 Checker)",
"prf_ph_email_addresses_description2","Alias Adressen einstellen/anlegen","create/set up alias addresses","nastavení/založení adresy InBox.cc ","nastavení/založení adresy InBox.cc ","InBox.cc utwórz adresy","Angajare/Înfinţare adresă InBox.cc ",
"prf_ph_email_address_assign_color","Farblich hervorheben","Highlight with colours",,,"Podkreśl kolorem","Subliniere colorată",
"prf_ph_email_alias_addresses","Alias Adressen","Alias addresses","alias adresy","alias adresy","Adresy Alias","Adrese Alias",
"prf_ph_email_autocheck","Automatisch abfragen","Check automatically",,,"Sprawdzaj automatycznie","Verificare automată",
"prf_ph_email_autocheck_each_min","jede Minute","every minute",,,"co minutę","la fiecare minut",
"prf_ph_email_autocheck_each_n_hours","alle %n% Stunden","Every %n% hours",,,"co %n% godzin","la fiecare %n% ore",
"prf_ph_email_autocheck_each_n_minutes","alle %n% Minuten","Every %n% minutes",,,"co %n% minut","la fiecare %n% minute",
"prf_ph_email_autocheck_min","Autom. prüfen (min)","Check automatically (min.)","Automaticky prověřit (min.)",,"Sprawdzaj automatycznie (min)","Verificare automată (min)",
"prf_ph_email_autoload_first_mail","Erste E-Mail automatisch laden wenn Voransicht aktiv","Automatically load first email when preview activated",,,"Pokaż pierwszą wiadomość automatycznie, gdy jest aktywny podgląd","Încărcare automată a primei E-Mail atunci când vederea anterioară este activă.",
"prf_ph_email_default_format","Vorgabe-Format","Default format",,,"Format domyślny","Format inpus",
"prf_ph_email_delete_msg_onserver","Nachrichten am Server löschen","Delete messages on server",,,"Usuń wiadomości z serwera","Ştergere mesaje de pe server",
"prf_ph_email_enable_preview","E-Mail Voransicht aktivieren","Enable email preview",,,"Aktywuj podgląd wiadomości","Activare vedere E-Mail",
"prf_ph_email_folder_view","E-Mail Ordneransicht","Email folder view",,,"Widok folderów poczty elektronicznej","Vedere dosar E-Mail",
"prf_ph_email_forward_format","Format bei Weiterleitungen","Forwarding format",,,"Format wiadomości przekazywanych dalej","Format pentru redirecţionare",
"prf_ph_email_forward_format_attachment","Nachricht komplett als Attachment weiterleiten","Forward message completely as attachment",,,"Przekaż całą wiadomość dalej jako załącznik","Redirecţionare mesaje complet ca şi ataşament",
"prf_ph_email_forward_format_simple","einfach weiterleiten ohne komplette Nachricht als Att.","Forward without complete message as attachment",,,"Przekaż dalej bez załączania całej wiadomości jako załącznika","Redirecţionare simplă fără un mesaj complet ca şi ataşament.",
"prf_ph_email_forward_messages","Nachrichten weiterleiten","Forward messages",,,"Przekaż wiadomości dalej","Redirecţionare mesaje",
"prf_ph_email_forward_messages_remove_forwarding","Löschen Sie die Adresse aus dem Eingabefeld um die Weiterleitung aufzuheben.","Delete address from input field to cancel forwarding process. ",,,"Proszę skasować adres z pola wpisu, aby anulować przekazanie.","Ştergeţi adresa din câmpul de introducere pentru a putea suspenda redirecţionarea. ",
"prf_ph_email_insert_sig_auto","Signatur der Standard-Adresse immer bereits einfügen","Always enter signature of standard address",,,"Zawsze dodawaj podpis standardowego adresu","Inserarea permanentă a semnături adresei standard",
"prf_ph_email_is_standard_adr","Dies ist die Standard-Adresse.","This is the standard address.","Toto je standardní adresa.",,"To jest adres standardowy.","Aceasta este adresa standard.",
"prf_ph_email_put_to_folder","Einordnen in den Ordner","Put into folder",,,"Przyporządkuj do folderu","Ordonare în dosar",
"prf_ph_email_re_request_confirmation_code","Freischaltung erneut durchführen","Perform activation process again","Znovu provést aktivaci",,"Ponownie przeprowadź logowanie","Realizare deblocare din nou",
"prf_ph_email_sender_name","Angezeigter Absender-Name","Displayed sender´s name",,,"Wyświetlana nazwa nadawcy","Arătare nume expeditor",
"prf_ph_email_standard_view","E-Mail Standard-Ansicht","Email standard view",,,"Standardowy widok poczty elektronicznej","Vedere E-Mail standard",
"prf_ph_email_surpress_ibx_header","Eventuellen Mail ""Sender""-Header ausblenden (siehe auch FAQ)","Hide potential mail „sender“ header",,,"Schowaj nagłówek nadawcy InBox.cc (patrz również FAQ)","Ascunde InBox.cc colector trimitere (vezi şi FAQ)",
"prf_ph_email_use_pop3ssl","POP3/SSL verwenden","Use POP3/SSL",,,"Użyj POP3/SSL","Folosire POP3/SSL",
"prf_ph_email_use_pop3ssl_description","Aktivieren Sie diese Option nur wenn dies Ihr externer Anbieter unterstuetzt!
	Vergessen Sie nicht auch die Port-Nummer in meist 995 zu aendern!","Activate this option only if your external provider will support it.Don´t forget to change the Port number to 995 in most cases.",,,"Proszę uaktywnić tę opcję wówczas, gdy obsługuje ją Państwa zewnętrzny usługodawca! Proszę nie zapomnieć o zmianie numeru portu - zwykle na 995!","Activaţi această opţiune doar atunci când ofertantul dvs. va dă sprijin! Nu uitaţi să schimbaţi numărul port de obicei 995!",
"prf_ph_fax_upload_new_image_to_replace","Ein neues Photo laden um das alte zu entfernen","Load a new image to be able to delete the old one.",,,"Załaduj nowe zdjęcie, aby usunąć stare","Încărcare fotografie nouă pentru a o şterge pe cea veche",
"prf_ph_goto_fax","zum Fax-Service","Go to fax services",,,"Przejdź do usług faksu","spre serviciu fax",
"prf_ph_goto_im_module","zum Instant Messenger Modul ...","To the Instant messenger module","K modulu Instant Messenger",,"do modułu Instant Messenger…","către modulul Instant Messenger ...",
"prf_ph_imap_pop3_smtp_data","IMAP/POP3/SMTP Zugangsdaten","IMAP/POP3/SMTP access data","IMAP/POP3/SMTP přístupová data",,"Dane dostępu IMAP/POP3/SMTP","Date acces IMAP/POP3/SMTP",
"prf_ph_im_enable_alerts","Alerts via Messenger bei neuen Nachrichten oder anstehenden Terminen versenden","Send new message or new event alerts via Messenger","Zaslat upozornění na nové zprávy, nebo nevyřízené termíny pomocí Messenger ",,"Przesyłaj alerty o nowych wiadomościach lub aktualnych terminach za pośrednictwem programu Messenger","Notificare via Messenger pentru mesaje noi şi întâlniri actuale.",
"prf_ph_im_online_status_visible_for","Mein Online-Status ist sichtbar für","My online status visible for","Můj on-line stav je viditelný pro",,"Mój status online widoczny dla","Starea mea online este vizibilă pentru",
"prf_ph_im_online_status_visible_for_all","Alle","All","Všechny",,"wszystkich","Toate",
"prf_ph_im_online_status_visible_for_contactlist","Kontaktliste","Contact list","Seznam kontaktů",,"listy kontaktów","Listă contacte",
"prf_ph_im_online_status_visible_for_nobody","Niemanden","Nobody","Nikoho",,"nikogo","Nimeni",
"prf_ph_integrate_external_address","Externe Adresse einbinden","Integrate external address","Připojit externí adresy",,"Powiąż z adresem zewnętrznym","Include adresă externă",
"prf_ph_integrate_external_address_invalid_code_re_request","Fordern Sie ihn bitte nochmals an - klicken Sie dazu bitte hier","Please send one more code request -please click here to proceed ","Znovu vyžádat - klikněte prosím zde:",,"Zażądaj ponownie – w tym celu kliknij tutaj","Cereţil încă odată - Faceţi aici clic pentru aceasta",
"prf_ph_integrate_external_address_invalid_code_title","Der Code stimmt leider nicht überein!","Invalid code!","Zadaný kód nesouhlasí.",,"Podany kod jest nieprawidłowy!","Codul nu se potriveşte!",
"prf_ph_integrate_external_address_success","Die E-Mail Adresse %ADDRESS% wurde erfolgreich freigeschalten und kann nun verwendet werden!","The email address %address% has been successfully activated and hence can be used.","E-mailová adresa %ADDRESS% byla úspěšně zpřístupněna a nyní muže být používána.",,"Adres e-mail %ADDRESS% został pomyślnie udostępniony i można go od tej chwili używać!","Adresa de E-Mail %ADDRESS% a fost deblocată şi poate fi folosită!",
"prf_ph_items_per_page","Einträge pro Seite","Entries per page",,,"Wpisy na stronie","Menţiuni per pagină",
"prf_ph_launch_admintool","Jetzt das Administrations-Tool für Ihr Unternehmen aufrufen ...","Launch your company´s administration tool now...","Vyvolat administrativní nástroje Administrations-Tool pro Vaši firmu ...",,"Uruchom teraz Tool administracyjny dla swojej firmy","Cereţi acum tool-urile de administrator pentru firma dvs. ...",
"prf_ph_left_column","Linke Spalte","Left column","Levá mezera",,"Lewa kolumna","Coloana stângă",
"prf_ph_link_change_mobile_nr","Mobilfunkrufnummer ändern ...","Change mobile phone number...",,,"Zmień numer telefonu komórkowego ...","Schimbare număr telefon mobil ...",
"prf_ph_logout_confirmation","Nachfragen beim Logout (verhindert irrtümliches Ausloggen)","Confirm logout (to avoid logging out by mistake)",,,"Dodatkowe pytanie przy wylogowaniu (zabezpiecza przed omyłkowym wylogowaniem)","Întrebare la Logout (împiedică un logout nedorit)",
"prf_ph_misc_settings","Diverse Einstellungen","Various settings","Různá nastavení",,"Różne ustawienia","Opţiuni diverse",
"prf_ph_misc_settings_autologin","Autologin","Autologin","Autologin - automatické přihlášení",,"Autologowanie","Autologin
",
"prf_ph_misc_settings_faxdedata","FAX.de Zugangsdaten","Fax.de access data","Přístupová data FAX.de",,"Dane dostępu FAX.de","Date acces FAX.de",
"prf_ph_misc_settings_mobile","Mobilfunkrufnummer freischalten","Activate mobile phone number","Zpřístupnit mobilní telefonní číslo",,"Udostępnij numer telefonu komórkowego","Deblocare număr mobil",
"prf_ph_misc_settings_newsletters","Newsletter Abo","Subscribe Newsletter","Předplacené bulletiny - Newsletter",,"Subskrypcja biuletynu informacyjnego","Abonament Newsletter",
"prf_ph_misc_settings_newsletters_tnt","Tipps'n'Tricks abonnieren","Subsribe Tips&Tricks",,,"Prenumerata ""Wskazówek i porad""","Abonare pentru tricuri şi ""TIPP""",
"prf_ph_misc_settings_newsticker","Newsticker","Newsticker","Newsticker",,"Newsticker","Newsticker
",
"prf_ph_misc_settings_startpage","Inhalt Startseite","Startpage content","Obsah úvodní stránky",,"Zawartość strony głównej","Conţinut pagină principală",
"prf_ph_mobile_wireless","Mobile / Wireless","mobile/wireless","GSM/Wireless",,"Dostęp poprzez GSM / bezprzewodowy","GSM/Wireless",
"prf_ph_more_email_settings","Weitere E-Mail Einstellungen ...","More email settings","Další nastavení e-mailu",,"Kolejne e-mail ustawienia","Alte opţiuni E-Mail ...",
"prf_ph_newsticker_newsfeeds","Angezeigte Nachrichtenquellen","Displayed newsfeeds",,,"Wyświetlone źródła wiadomości","Viziulizarea surselor de ştiri",
"prf_ph_newsticker_order_one_by_one","immer alle Nachrichten hintereinander anzeigen","Always show news consecutively",,,"Zawsze pokazuj wszystkie wiadomości po kolei","arată întotdeauna mesajele unul după altul",
"prf_ph_newsticker_order_top_news","die Top-Nachrichten aller Channels zuerst","Top news of all channels at first",,,"Pokazuj najpierw wiadomości TOP wszystkich kanałów","Ştirile de prima oră a celor mai importante canale, pe prim plan",
"prf_ph_newsticker_randomized","Nachrichten zufällig anordnen","Arrange news randomly",,,"Ułóż wiadomości przypadkowo","Ordonare mesaje la întâmplare",
"prf_ph_newsticker_scrollspeed","Scrollgewindigkeit","Scroll speed",,,"Prędkość przewijania","Viteză scroll",
"prf_ph_newsticker_viewmode","Anzeigemodus","View mode",,,"Tryb wyświetlania","Indicator modul",
"prf_ph_newsticker_viewmode_at_once","sofort anzeigen","Show immediately",,,"Pokazuj natychmiast","arată imediat",
"prf_ph_own_categories_default_categories","Vorgegebene Kategorien","Default categories","Zadané kategorie",,"Domyślne kategorie","Categorii impuse",
"prf_ph_own_categories_description","Sie koennen bei vielen Elementen Kategorien angeben und dann danach filtern.",,"V případě velkého množství elementů můžete zadat kategorie a následně v nich filtrovat.",,"W przypadku wielu elementów istnieje możliwość określenia kategorii oraz filtrowania wg nich.","Puteţi da la mai multe elemente categorii şi apoi le puteţi filtra.",
"prf_ph_own_categories_new_category","Neue Kategorie","New category","Nové kategorie",,"Nowa kategoria","Categorii noi",
"prf_ph_passwort_enter_only_if_change_wanted","Nur eingeben wenn Sie das Passwort aendern wollen","Enter only if you would like to change the password",,,"Wprowadzić tylko wówczas, gdy chcą Państwo zmienić hasło","Introduceţi doar atunci cănd doriţi să schimbaţi parola.",
"prf_ph_personal_data","Persönliche Daten","Personal data","Osobní údaje",,"Dane osobowe","Date personale",
"prf_ph_personal_data_name_tel","Name / Adresse / Telefonnummer","name/address/telephone number","Jméno / adresa / telefonní číslo",,"Nazwisko / Adres / Nr telefonu","Nume/Adresă/Număr telefon",
"prf_ph_personal_data_own_categories","Eigene Kategorien","Own categories","Vlastní kategorie",,"Własne kategorie","Categorii proprii",
"prf_ph_personal_description","Ihre persönlichen Daten (Adresse, ...)","Your personal data (address,...)","Vaše osobní data (adresa, ...)","Vaše osobní data (adresa, ...)","Twoje osobiste dane (adres ...)","Datele personale (Adresă,...)",
"prf_ph_pop3_imap_smtp_Access_intro","Bitte nutzen Sie folgende Zugangsdaten für den Zugriff auf Ihr InBox.cc Konto:","Please use the following data for your access to your InBox.cc account:",,,"Proszę użyć następujących danych dostępu do konta InBox.cc:","Folosiţi următoarele date de acces pentru contul InBox.cc",
"prf_ph_pwd_change_enter_current_pwd","Bitte geben Sie das aktuelle Passwort ein!","Please enter the current password!",,,"Proszę wprowadzić aktualne hasło!","Introduceţi parola actuală!",
"prf_ph_pwd_change_now","Passwort nun ändern","Change password now",,,"Teraz zmień hasło","Schimbare parolă",
"prf_ph_pwd_current_pwd","Aktuelles Passwort","Current password",,,"Aktualne hasło","parola actuală",
"prf_ph_pwd_do_not_match","Die beiden Eingaben für das neue Passwort stimmen nicht überein!","Both entries for the new password do not match!",,,"Hasło wprowadzone powtórnie jest niezgodne z pierwszym!","Datele introduse nu se potrivesc cu parola!",
"prf_ph_pwd_enter_twice","Bitte geben Sie zwei mal das gewünschte neue Passwort ein!","Please enter the desired password twice!",,,"Proszę wprowadzić dwa razy nowe hasło!","Introduceţi de două ori parola nouă!",
"prf_ph_pwd_intro","Aus Sicherheitsgründen empfehlen wir Ihnen regelmäßig Ihr Passwort zu ändern.","For security reasons, we recommend to regularly change your password.",,,"Ze względów bezpieczeństwa zalecamy Państwu co pewien czas zmieniać hasło.","Din motive de securitate, recomandăm schimbarea parolei des.",
"prf_ph_pwd_invalid_pwd","Sie haben nicht das richtige aktuelle Passwort eingegeben!","You haven´t entered the current valid password!",,,"Wprowadzono niepoprawne aktualne hasło!","Nu aţi introdus parola actuală corect!",
"prf_ph_pwd_new_pwd","Neues Passwort","New password",,,"Nowe hasło","Parolă nouă",
"prf_ph_pwd_old_new_same","Das aktuelle und das neue Passwort stimmen überein - bitte wählen Sie ein Neues!","The current and new password are the same- please select new one!",,,"Aktualne i nowe hasło są takie same - proszę wprowadzić nowe!","Parola actuală şi cea nouă se potrivesc -selectaţi una nouă!",
"prf_ph_pwd_success","Passwortänderung wurde erfolgreich durchgeführt!","Change of passwords was successful!",,,"Zmiana hasła została przeprowadzona pomyślnie!","Schimbarea parolei a fost efectuată cu succes!",
"prf_ph_security_change_pwd","Passwort ändern","Change password","Změnit heslo",,"Zmień hasło","Schimbare parolă",
"prf_ph_security_logbook","Hier finden Sie Informationen über Ihre 50 letzten Logins:","Here you will find information about your last 50 logins:",,,"Tu znajdą Państwo informację o ostatnich 50 logowaniach:","Aici se află informaţii despre ultimele 50 Logins:",
"prf_ph_security_login_logbook","Login-Logbuch","Login logbook","Seznam provedených přihlášení",,"Dziennik logów logowania","Carte Login",
"prf_ph_select_desired_section","Wählen Sie bitte den gewünschten Bereich!","Please choose the desired section!","Vyberte si prosím požadovanou oblast.",,"Wybierz żądany obszar.","Selectaţi domeniul dorit!",
"prf_ph_settings_saved","Einstellungen wurden gespeichert.","Settings saved.","Nastavení byla uložena.",,"Ustawienia zostały zapisane.","Setarea a fost memorată!",
"prf_ph_show_inboxcc_today_by_default","Today-Leiste standardmäßig einblenden","Standard display of  today-bar. ",,,,"InBox.cc astăzi, vederea standard",
"prf_ph_signatures_create_signatures","Signatur erstellen/editieren",,,,,"Creere/Editare semnătură",
"prf_ph_signatures_description","""Unterschriften"" f&uuml;r E-Mails definieren","Definition of email „signatures“","definice podpisu pro e-mail","definice podpisu pro e-mail","Zdefiniuj Podpisy na  e-maile","Definire ""semnătură"" pentru E-Mail-uri",
"prf_ph_signatures_email_addresses","E-Mail Adresse(n)",,,,,"Adresă(e) E-Mail",
"prf_ph_signature_explanation","Diese Signaturen werden bei jeder Nachricht als normaler Text hinzugefügt
und kann ganz normal editiert werden.","With every message these signatures will be attached as normal text and can be easily edited.",,,,"Aceste semnături vor fi adăugate la fiecare mesaj nou ca un text normal şi pot fi editate.",
"prf_ph_signature_select_adr","Für welche E-Mail Adresse möchten Sie die Signatur ändern?","For which email address would you like to change the signature?",,,,"Pentru care adresă de E-Mail doriţi să schimbaţi semnătura?",
"prf_ph_spamguard_action","Wie soll mit Spam-verdächtigen Nachrichten verfahren werden? ","Describe action for messages suspected to be spam?",,,"Jak postępować z wiadomościami, w których podejrzewamy spam?","Cum se va proceda cu mesajele suspecte Spam?",
"prf_ph_spamguard_action_delete","Nachricht löschen","Delete message",,,"Usuń wiadomość","Şterge mesaj",
"prf_ph_spamguard_action_junkmail_folder","Nachricht in den ""Junkmail"" Ordner verschieben","Move message to „junkmail“ folder",,,"Przesuń wiadomość do folderu ""Śmieci""","Mesaje deplasate în ""Junkmail""",
"prf_ph_spamguard_action_mark","Nachricht speziell markieren und farblich hervorheben","Mark message specifically and highlight with colour",,,"Oznacz wiadomość w specjalny sposób i podkreśl kolorem.","Marcare mesaj special şi subliniere colorată",
"prf_ph_spamguard_add_exception","Klicken Sie bitte auf ""Einstellungen speichern"" um die E-Mail Adresse %EMAILADDRESS% zu den Ausnahme-Adressen hinzuzufuegen.","Please clock on „save settings“ to add the email address %EMAILADDRESS% to the excepted addresses.",,,"Proszę kliknąć na ""Zapisz ustawienia"", aby dodać adres e-mail %EMAILADDRESS% do adresów-wyjątków.","Clic pe ""Memorare setării"" pentru a insera adresa de E-Mail %EMAILADDRESS% la adresele cu excepţie",
"prf_ph_spamguard_blacklist","Eine Blacklist wird ueber die E-Mail Filterfunktion geboten.","A blackmail list is offered by the email filter feature.",,,"Poprzez funkcję filtrowania poczty oferowana jest czarna lista.","O listă neagră vă este pusă la dispoziţie pentru funcţiunea filtrului de E-Mail.",
"prf_ph_spamguard_disabled","deaktiviert (keine Nachrichten werden automatisch gefiltert)","Deactivated (no messages will be automatically filtered)",,,"wyłączony (żadne wiadomości nie są filtrowane automatycznie)","dezactivare (fără filtrarea automată a mesajelor)",
"prf_ph_spamguard_enabled","aktiviert - der SpamGuard schützt Sie vor unerwünschten  Nachrichten","Activated- InBox.ccSpamGuard protects you from unwanted messages",,,"włączony - InBox.cc SpamGuard chroni Państwa przed niepożądanymi wiadomościami","activat - InBox.cc SpamGuard vă va proteja de mesajele nedorite",
"prf_ph_spamguard_faq","weitere Informationen dazu finden Sie in der FAQ","You will more related information in FAQ",,,"dalsze informacje na ten temat znajdą Państwo w FAQ","mai multe informaţii găsiţi în FAQ",
"prf_ph_spamguard_level","Wie ""scharf"" soll der SpamGuard-Filter für Ihre eintreffenden E-Mails gemacht werden?","Which level of protection do you wish your SpamGuard Filter to have for your incoming emails?",,,"Jak ostro ma być ustawiony filtr SpamGuard dla otrzymywanych przez Państwa wiadomości?","Cât de ""aspru"" să fie filtrul SpamGuard pentru E-Mail-urile primite?",
"prf_ph_spamguard_level_default","normal","Normal",,,"normalnie","normal",
"prf_ph_spamguard_level_extreme","extrem penibel","Very accurate/very high",,,"bardzo ostro","foarte drastic",
"prf_ph_spamguard_level_very_low","sehr unscharf","average/very low",,,"bardzo łagodnie","foarte difuz",
"prf_ph_spamguard_razor","Razor-Liste aktivieren","Activate razor list",,,"Aktywuj listę ""Razor""","Activare listă ""razor""",
"prf_ph_spamguard_report","Wöchentlichen Bericht über Nachrichten im JunkMail Ordner    versenden","Send weekly report about messages in junkmail folder",,,"Prześlij raport tygodniowy o wiadomościach umieszczonych w folderze ""Śmieci""","Trimite raport săptămânal despre mesajele din dosarul JunkMail",
"prf_ph_spamguard_save_settings","Einstellungen speichern","Save settings",,,"Zapisz ustawienia","Memorare setări",
"prf_ph_spamguard_whitelist","Liste der Ausnahmen/Whitelist","List of exceptions/whitelist",,,"Lista wyjątków/Biała lista","Lista excepţii/Lista albă",
"prf_ph_spamguard_whitelist_add","Hinzufügen ...","Add...",,,"Dodaj ...","Inserare ...",
"prf_ph_spamguard_whitelist_description","Absender-Adressen, die vom Spam-Filter ausgenommen werden sollen (getrennt durch Beistriche)","Addresses to be ignored by spam filter (seperated by comma)",,,"Adresy nadawców, które filtr spamu ma traktować jako wyjątki (oddzielone przecinkami)","Adrese-expeditor(i), care să fie excluse de la filtrul Spam (despărţite prin virgulă)",
"prf_ph_spamguard_whitelist_new","Neu","New",,,"Nowy","Nou",
"prf_ph_startpage_left_col","Linke Spalte","Left column",,,"Lewa kolumna","Coloana stângă",
"prf_ph_startpage_right_col","Rechte Spalte","Right column",,,"Prawa kolumna","Coloana dreaptă",
"prf_ph_startpage_select_items","Wählen Sie bitte die gewünschten Einträge aus und klicken Sie danach auf ""Speichern"".","Please select the desired entries and then click „save“.",,,"Proszę wybrać odpowiednie wpisy, a potem kliknąć na ""Zapisz"".","Selectaţi menţiunile dorite şi faceţi clic pe ""Memorare"".",
"prf_ph_startpage_show_new_window","Jetzt die Startseite anzeigen (Neues Fenster)","Show startpage now (new window)",,,"Pokaż teraz stronę startową (Nowe okno)","Arată acum pagina principală (fereastră nouă)",
"prf_ph_team_settings","Team-Einstellungen","Team settings","týmová nastavení","týmová nastavení","Ustawienie zespołu","Setare - Echipă",
"prf_ph_weather_select_location","Bitte wählen Sie Ihren Ort aus:",,,,,"Vă rugăm să selectaţi locaţia dvs.:",
"prf_ph_weather_select_location_no_location_found","Leider wurde kein Eintrag mit Ihrem Ort gefunden (bitte kontrollieren Sie auch die Eingabe unter ""Einstellungen""/""Persönliches""). Das System versteht bei bestimmten Städten nur den englischen Namen (zB Vienna statt Wien). Bitte geben Sie nun einen Ort in der Nähe an, für den das Wetter angezeigt werden soll:","The lookup for your city did not return any results - please try to enter a different city name near your city in the preferences.",,,,"Din păcate nu a fost găsită nici o menţiune cu locaţia selectată (vă rugăm să controlaţi datele din ""personale""). Vă rugăm să introduceţi acum o locaţie din împrejurimi, pentru care să fie afişată veremea:",
"prf_ph_weather_show_current_weather","Aktuelles Wetter anzeigen",,,,,"Arată vremea curentă",
"prf_ph_wireless_already_confirmed","Ihre Rufnummer ist bereits erfolgreich freigeschalten","Your telephone number has already been activated successfully",,,"Państwa numer telefonu został już pomyślnie dodany!","Numărul dvs. a fost deja deblocat",
"prf_ph_wireless_confirm_again","Jetzt zurücksetzen (kostet 4 Punkte von Ihrem Punkteguthaben).",,,,"Cofnij teraz (kosztuje 4 punkty z Państwa puli punktów).","Resetare acum (costă 4 puncte din saldul de puncte)",
"prf_ph_wireless_description","Bestätigung der eigenen Mobilfunkrufnummer","Confirmation of own mobile phone number","potvrzení vlastního čísla mobilního telefonu","potvrzení vlastního císla mobilního telefonu","Potwierdzenie własnego numeru komórkowego","Confirmare număr mobil propriu",
"prf_ph_wireless_not_enough_points","Ihr Punkteguthaben reicht nicht für diese Aktion aus.","You don´t have enough points to perform this action",,,"Państwa pula punktów nie wystarcza do przeprowadzenia tej operacji.","Punctele dvs. nu sunt suficiente pentru această acţiune.",
